"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ALDH3A2","OK",7.80691669563263e-123,23.5407514045591,0.11807014154613,"ALDH3A2",3.16297647561548e-122
"ALDH3B1","OK",8.20021386262312e-75,18.2626913041278,0.0914643267061271,"ALDH3B1",2.61709295031541e-74
"ALDH4A1","OK",9.96688448272782e-232,32.4807617335665,0.162824967475443,"ALDH4A1",5.81687383628162e-231
"ALDH5A1","OK",6.55561154255382e-211,30.9713445774356,0.155151248844679,"ALDH5A1",3.62093021531221e-210
"ALDH6A1","OK",0,43.15382547665,0.216665657866622,"ALDH6A1",0
"ALDH7A1","OK",0,55.5509471150659,0.279076934283583,"ALDH7A1",0
"ALDH8A1","OK",0.448190343871972,0.130234768236183,0.000338700129427957,"ALDH8A1",0.471835738622054
"ALDH9A1","OK",6.60476479808455e-110,22.2429132891004,0.111578024910566,"ALDH9A1",2.51215569276362e-109
"ALDOA","OK",0,41.7152808795689,0.209499943135071,"ALDOA",0
"ALDOB","OK",0.0404257665860036,1.74576650662974,0.00797910553330917,"ALDOB",0.0462515990247258
"ALDOC","OK",0,114.946505215514,0.577925287230566,"ALDOC",0
"ALG1","OK",2.39522613423125e-42,13.5868839158677,0.0679831507948711,"ALG1",5.88434929747849e-42
"ALG10","OK",0.050104019993361,1.64384588778885,0.00787793696633602,"ALG10",0.0569763082304558
"ALG10B","OK",0.38557548257399,0.290869713847802,0.00116784041204113,"ALG10B",0.408825003760648
"ALG11","OK",1.41469599528972e-05,4.18678050827863,0.0207063540232377,"ALG11",1.89811263112249e-05
"ALG12","OK",0.000562833843932639,3.25707479170539,0.0160723750648205,"ALG12",0.000709446004083849
"ALG13","OK",2.40862920618214e-15,7.83159325337849,0.0390986220111641,"ALG13",4.16566217358086e-15
"ALG14","OK",1.31117592081559e-30,11.4405442869097,0.0571629911664523,"ALG14",2.85159309718716e-30
"ALG1L","OK",0.386274239689934,0.289042990333334,0.00110284177001677,"ALG1L",0.409539226778955
